N,c4,c5,d2,d3,d4
1,,, 1.0000 , 0.8200 , 1.0000 
2, 0.7979 , 0.6028 , 1.1280 , 0.8525 , 0.9549 
3, 0.8862 , 0.4633 , 1.6930 , 0.8884 , 1.5880 
4, 0.9213 , 0.3888 , 2.0590 , 0.8794 , 1.9780 
5, 0.9400 , 0.3412 , 2.3260 , 0.8641 , 2.2570 
6, 0.9515 , 0.3075 , 2.5340 , 0.8480 , 2.4720 
7, 0.9594 , 0.2822 , 2.7040 , 0.8332 , 2.6450 
8, 0.9650 , 0.2621 , 2.8470 , 0.8198 , 2.7910 
9, 0.9693 , 0.2458 , 2.9700 , 0.8078 , 2.9150 
10, 0.9727 , 0.2322 , 3.0780 , 0.7971 , 3.0240 
11, 0.9754 , 0.2207 , 3.1730 , 0.7873 , 3.1210 
12, 0.9776 , 0.2107 , 3.2580 , 0.7785 , 3.2070 
13, 0.9794 , 0.2019 , 3.3360 , 0.7704 , 3.2850 
14, 0.9810 , 0.1942 , 3.4070 , 0.7630 , 3.3560 
15, 0.9823 , 0.1872 , 3.4720 , 0.7562 , 3.4220 
16, 0.9835 , 0.1810 , 3.5320 , 0.7499 , 3.4820 
17, 0.9845 , 0.1754 , 3.5880 , 0.7441 , 3.5380 
18, 0.9854 , 0.1702 , 3.6400 , 0.7386 , 3.5910 
19, 0.9862 , 0.1655 , 3.6890 , 0.7335 , 3.6400 
20, 0.9869 , 0.1611 , 3.7350 , 0.7287 , 3.6860 
21, 0.9876 , 0.1571 , 3.7780 , 0.7242 , 3.7300 
22, 0.9882 , 0.1534 , 3.8190 , 0.7199 , 3.7710 
23, 0.9887 , 0.1499 , 3.8580 , 0.7159 , 3.8110 
24, 0.9892 , 0.1466 , 3.8950 , 0.7121 , 3.8470 
25, 0.9850 ,, 3.9310 , 0.7084 , 3.8830 